Phi,Theta
0,0
1.3663791,2.6586253
1.1650666,2.7570542
1.1522869,1.5821534
0.23086835,0.639884
0.17213735,0.60399357
0.06165467,0.44302712
0.37670543,0.4760842
0.47901627,0.32338713
0.67239553,0.33327552
0.79108284,0.35386934
0.55493942,0.42983617
6.0950534,0.36591827
5.9352533,0.36164368
5.7387427,0.32630791
5.8665844,0.34904307
5.8068464,0.33424189
6.1570235,0.35289976
5.9989301,0.46776778
0.051315998,0.4530412
6.248908,0.41584046
6.1525176,0.3351289
0.28032152,0.34870436
0.095561483,0.31978411
0.028010566,0.43044801
0.23498646,0.44129812
6.1282527,0.37909081
6.0028433,0.32309259
5.9899367,0.27781175
5.9625902,0.2056943
6.0294468,0.20948835
5.7956091,0.15873726
6.075267,0.25934498
5.8278979,0.35897549
5.7580106,0.29712554
5.69221,0.32192199
5.6180938,0.26294348
5.9196341,0.38369833
6.1482648,0.32667777
6.1870161,0.31382337
5.9938702,0.27539009
0.085968628,0.33342184
6.2141714,0.30962341
6.2087456,0.34230779
5.9953692,0.30338183
5.8573731,0.20995769
5.5914657,0.26419506
5.6160972,0.28778854
5.4729219,0.39995279
5.3959189,0.5042287
5.2490288,0.57712121
5.2923682,0.57935787
5.2459692,0.52614563
5.2018548,0.45088181
5.1742723,0.51343816
4.8976806,0.27842561
5.0360084,0.39066836
5.0712356,0.39167133
4.7748625,0.51170316
4.8071341,0.4801658
4.8078998,0.46368417
4.6703631,0.50868456
4.5363406,0.42779249
4.2285091,0.376377
4.2628078,0.39612191
4.2304742,0.40512241
3.9945972,0.29821962
3.8233273,0.28917921
3.5640407,0.32517418
3.4352627,0.31507804
3.4933508,0.36170261
3.2490065,0.45137089
3.4347272,0.52594216
3.4047168,0.451507
3.4980878,0.38717677
3.6045764,0.3834049
3.6173872,0.39352747
3.5211589,0.39355526
3.7049675,0.47588841
3.7419736,0.49872253
3.7040385,0.56521262
3.5920361,0.59632047
3.6526936,0.67378697
3.493261,0.68873723
3.565417,0.67938282
3.5426429,0.69683125
3.4582199,0.89926117
3.3702911,0.72974391
3.452726,0.8107608
3.6024661,0.73983303
3.5563458,0.7441246
3.4015994,0.68836799
3.4297266,0.77408272
3.3581438,0.83728588
3.255736,0.82244088
3.1079163,0.79339247
3.1874312,0.80508647
3.3047447,0.72573435
3.2113728,0.76262835
3.3407747,0.9227989
3.6353376,1.0669411
3.6897473,1.0163082
3.6688111,1.0677693
3.6267109,0.97261186
3.5604752,0.97531627
3.5719479,1.2412305
3.6872987,1.2851397
3.6897053,1.4235463
3.6778916,1.4779583
3.7023338,1.6239196
3.7994019,1.4145737
3.869088,1.4388078
3.8510492,1.5296016
4.0035778,1.8368957
4.0979595,1.814486
4.0907167,1.8709182
4.1747559,1.7976212
4.1625026,1.676712
4.2955052,1.8743177
4.4037648,1.8146557
4.4789346,1.9113899
4.3809452,1.7444105
4.299597,1.7401065
4.3282862,1.7522213
4.3458141,1.7010081
4.2947671,1.6799436
4.2465318,1.656048
4.0222069,1.4680696
4.0463129,1.4010944
3.8738043,1.3529279
3.9282668,1.2917729
3.9563805,1.3576089
3.9793346,1.388609
3.9122666,1.4434163
3.8933397,1.3894685
3.9233475,1.4407736
3.8931351,1.4848169
3.8437777,1.3622715
3.952122,1.4865483
3.9354282,1.5276817
3.9859033,1.6361851
3.9745947,1.6348525
3.9430216,1.6405099
3.8947386,1.4368756
3.8592272,1.4872466
3.9600875,1.7264152
3.9533495,1.6623506
3.9744796,1.5525567
4.0164499,1.4843354
3.9279491,1.529239
3.971324,1.4298453
4.1033267,1.4987865
4.1828097,1.5919939
4.2017972,1.7022854
4.1661471,1.5025443
4.1973593,1.6677314
4.1672697,1.6328565
4.2114626,1.6549393
4.2153222,1.6442931
4.2779747,1.7404171
4.3534248,1.770709
4.3721764,1.7730142
4.393793,1.8053016
4.4006656,1.7709336
4.4151124,1.7230756
4.3527631,1.5394697
4.4278236,1.7128111
4.4608747,1.7170966
4.4853224,1.6718151
4.4800942,1.6646573
4.7058531,1.778201
4.6720306,1.8271022
4.6370938,1.7808313
4.5626536,1.6177378
4.7281973,1.787371
4.7438541,1.7452428
4.7667687,1.767942
4.736104,1.7603606
4.7935753,1.8542945
4.8357992,1.9076544
4.8786489,1.8816709
4.8506783,1.7887
4.8203083,1.7567773
4.8541802,1.8310599
4.8595253,1.8614681
4.8281726,1.7612487
4.8500223,1.8146216
4.892035,1.8467262
4.8622275,1.7963864
4.8738168,1.844466
5.0198927,1.9866542
5.1143994,1.9726725
5.2508435,2.0356655
5.1157043,2.0330503
5.1764178,2.0806508
5.144464,2.1161147
5.1389742,2.1481555
5.1291288,2.2323845
5.1429175,2.2619181
5.2019375,2.253832
5.2077465,2.1503038
5.3175279,2.1569746
5.4742884,2.2359635
5.5517032,2.2323518
5.6843577,2.1478785
5.7938568,2.3241553
5.8775045,2.2889311
6.063599,2.1212793
6.111703,2.0433747
5.9931641,1.9152041
6.1118911,2.0611155
6.2506914,2.2205722
6.2710666,2.31152
6.1603635,2.5281976
6.1219786,2.6598782
0.034179544,2.7739942
0.13166426,2.7424767
0.15395101,2.7952409
0.17994363,2.7084807
6.2654546,2.7753936
6.2666255,2.8016969
5.8496828,2.7927995
5.7430738,2.8397488
5.5757707,2.8158624
5.7154854,2.8030599
5.7026928,2.6776526
5.8716518,2.6256441
5.8593976,2.7162186
5.983009,2.753314
5.9394003,2.801124
5.7466897,2.7802439
5.9897284,2.7728537
5.8560988,2.8303232
5.782553,2.8079063
6.1385006,2.8115443
6.0653603,2.7820748
6.1715651,2.7745722
6.1726568,2.8791542
6.1181304,2.8938661
0.057944593,2.9021663
0.24687565,2.8795012
0.22510698,2.8523019
0.35439722,2.8602793
0.27806537,2.9103694
0.43852472,2.9475267
5.9838601,3.0804601
4.3751443,3.1219667
0.81300053,3.0734981
2.397151,3.1291261
2.2966522,3.086407
3.0075545,3.0919364
0.59173359,3.089234
0.944281,3.0392199
1.0199835,3.0080639
1.2493842,2.9647271
1.1301873,2.9416065
0.99195991,2.9672759
1.0643924,2.9961784
0.97132934,3.015653
1.4600838,3.0577917
1.1646132,3.012763
1.0679492,3.057534
1.1854862,3.009662
1.0276648,3.0458181
1.9448861,3.0808241
1.8961779,3.0402272
1.5551026,3.0285483
1.1053661,2.9365827
1.392194,2.932148
1.2761324,2.9148814
1.4209511,2.9422658
1.6420629,3.0324324
1.8036123,3.05797
2.3922868,3.0721706
2.6914206,3.0639572
3.4238061,3.0119556
3.4429183,2.9593183
3.191444,2.9517958
3.0793102,2.9476946
3.0008208,2.974749
3.4561699,2.9820446
3.7110857,2.9916359
3.829494,2.9699575
3.9345162,2.9583863
3.9797683,2.9073934
4.2066175,2.9267927
3.9088665,2.9261543
4.0781631,2.9287067
4.0794875,2.8937471
3.9712794,2.8637838
3.90876,2.8658887
3.7981323,2.8440018
3.9214182,2.8511503
3.639908,2.7731129
3.7557841,2.7884658
3.597469,2.7953486
3.4898897,2.7762429
3.3552836,2.8002029
3.477526,2.7921095
